Address,house_number,house,road,neighbourhood,city_district,postcode,state,latitude,longitude,latitude g,longitude g
"Bulatan Jubli Emas, 01000 Kangar, Perlis.",,,Bulatan Jubli Emas,,Kangar,1000,Perlis,,,6.43764,100.19349
"PT 7444 (Kompleks 18) Jalan BBN 1/2H, Bandar Baru Nilai,71800 Negeri
Sembilan Darul Khusus.
",PT 7444 (Kompleks 18),Jalan BBN 1/2H,Bandar Baru Nilai,,,71800,"Negeri
Sembilan",,,2.81329,101.79353
"Jalan Putra, 09000 Kulim, Kedah.",,,Jalan Putra,,Kulim,9000,Kedah,,,5.37052,100.54497
"Pengurus Kawasan (Temerloh) Bahagian Pembahagian Tenaga Nasional
Berhad, No. 40A, Jalan Tengku Ismail, 28000 Temerloh, Pahang Darul
Makmur.",No. 40A,"Pengurus Kawasan (Temerloh) Bahagian Pembahagian Tenaga Nasional
Berhad",Jalan Tengku Ismail,,Temerloh,28000,Pahang,,,3.058912,101.771392
"TNB Kota Bharu, Aras 2, Wisma TNB, Jalan Tok Hakim, 15000 Kota
Bharu,Kelantan.",,"TNB Kota Bharu, Aras 2, Wisma TNB", Jalan Tok Hakim,,Kota Bharu,15000,Kelantan,,,4.58451,101.08437
"Jln 8/101 Taman Rajawali Kuala Lumpur, Wilayah Persekutuan 56100, Malaysia",,,Jalan 8/101,Taman Rajawali,Kuala Lumpur,56100,Wilayah Persekutuan,,,3.10401,101.75012
"Jalan pantai bahru, menara tm Bangsar, Wilayah Persekutuan , Malaysia",,,Jalan pantai bahru,menara tm,Bangsar,,Wilayah Persekutuan,,,2.26912,102.2904
"Cova Square, Jln Teknologi PJU5 Kota Damansara Petaling Jaya, Selangor 47810, Malaysia",,Cova Square,Jln Teknologi PJU5,Kota Damansara,Petaling Jaya,47810,Selangor ,,,3.16529,101.57525
"No. 42, Jln 11/116b Kuchai Intrepreneur Park Kuala Lumpur, Wilayah Persekutuan 58200, Malaysia",No. 42,,Jln 11/116b Kuchai Intrepreneur Park,,Kuala Lumpur,58200,Wilayah Persekutuan,,,3.08561,101.69001
"6, Jalan Apollo U5/191,Bandar Pinggiran Subang, Seksyen U5 Shah Alam, Selangor 40150, Malaysia",6,,Jalan Apollo U5/191,"Bandar Pinggiran Subang, Seksyen U5",Shah Alam,40150,Selangor,,,3.15891,101.55116
"No. 603, 6th Floor, Majestic Square, Jln Othman, Seksyen 3, Petaling Jaya, Selangor 46000, Malaysia","No. 603, 6th Floor",Majestic Square,Jln Othman,Seksyen 3,Petaling Jaya,46000,Selangor,,,3.08639,101.64974
"Jln Selat Selatan 21 Sobena Jaya Industrial Park Pendamaran Klang, Selangor 42000, Malaysia",,,Jln Selat Selatan 21,Sobena Jaya Industrial Park Pendamaran,"Klang,",42000, Selangor,,,3.00598,101.42086
"Block G, Jln 3/101c Cheras Business Centre Cheras, Selangor 56100, Malaysia",Block G,,Jln 3/101c Cheras Business Centre,,Cheras,56100,Selangor,,,6.15525,100.37191
"5A, Jln Sg Keranji Q32/q Kemuning Greenvill Seksyen 32 Shah Alam, Selangor 40460, Malaysia",5A,, Jln Sg Keranji Q32/q Kemuning Greenvill ,Seksyen 32 , Shah Alam,40460,Selangor,,,2.97935,101.53305
"PT13698, 1st Floor, Taman Cukai Utama 24000, Malaysia","PT13698,, 1st Floor",,,Taman Cukai Utama,,24000,,,,6.15525,100.37191
"K4, Taman Jadi Tanjung Gemok Bandar Chanis, Pahang 26820, Malaysia",K4,,,Taman Jadi Tanjung Gemok Bandar Chanis,,26820,Pahang,,,3.19823,101.67907
"Blok E, Jln 18/14 Taman Sri Serdang Seri Kembangan, Selangor 43300, Malaysia",Blok E,,Jln 18/14 ,Taman Sri Serdang ,Seri Kembangan,43300,Selangor,,,3.029739,101.715931
"TNB Teluk Intan, Bahagian Pembahagian TNB, Jalan Changkat Jong, 36000
Teluk Intan",,"TNB Teluk Intan, Bahagian Pembahagian TNB",Jalan Changkat Jong,,Teluk Intan,36000,,,,5.43982,100.38069
"Jln Sulaimani, 24000 Chukai, Kemaman, Terengganu.",,,Jln Sulaiman,Chukai,Kemaman,24000,Terengganu,,,4.23268,103.42561
"TNB Batu Pahat, Jalan Bakau Chondong, 83000 Batu Pahat, Johor.",,TNB Batu Pahat ,Jalan Bakau Chodong,,Batu Pahat,83000,Johor,,,1.87177,102.9489
"TNB Kuala Terengganu, Jalan Banggol, 20100 Kuala Terengganu,
Terengganu.",,TNB Kuala Terengganu,Jalan Banggol,,Kuala Terengganu,20100,Terengganu,,,5.40987,100.30944
"TNB Rawang, Peti Surat 211, Jalan Maxwell, 48000 Rawang, Selangor",Peti Surat 211,TNB Rawang ,Jalan Maxwell,,Rawang,48000,Selangor,,,3.28204,101.47948
"TNB Muar, Jalan Sulaiman, 84000 Muar, Johor.",,TNB Muar,Jalan Sulaiman,,Muar,84000,Johor,,,2.03808,102.5724
"TNB Kulaijaya, Lot 6610 Bt.181/4 Jalan Senai-Kulai, 81000 Kulaijaya, Johor.",Lot 6610 Bt. 181/4,TNB Kulaijaya,Jalan Senai-Kulai,,Kulaijaya,81000,Johor,,,2.03808,102.5724
"TNB Sungai Petani, 23, Jalan Petri, 08000, Sungai Petani, Kedah.",,TNB Sungai Petani,Jalan Petri,,Sungai Petani,8000,Kedah,,,5.6896,100.49254
"TNB Alor Setar, No. 889, Wisma TNB, Jln Sultan Badlishah, 05990 Alor
Setar, Kedah.",No. 889,"TNB Alor Setar, Wisma TNB",Jln Sultan Badlishah,,Alor Setar,5990,Kedah,,,6.12377,100.37084
"TNB Melaka, PKP Banda Kaba,Aras G, Jalan Banda Kaba, 75990 Melaka",,"TNB Melak, PKP Banda Kaba, Aras G",Jalan Banda Kaba,,,75990,Melaka,,,2.19289,102.25292
"TNB Kluang, Jalan Mengkibol, 86009 Kluang, Johor.",,TNB Kluang,Jalan Mengkibol,,Kluang,86009,Johor,,,2.01032,103.32152
"TNB Ipoh, Pejabat Pengurus Kawasan Ipoh, Jalan Lahat, 30200 Ipoh,
Selangor",,"TNB Ipoh, Pejabat Pengurus Kawasan Ipoh",Jalan Lahat,,Ipoh,30200,Perak,,,3.93239,101.25099
"TNB Seremban, Tkt 1, Wisma TNB, Jalan Dato Bandar Tunggal, 70000
Seremban.",,"TNB Seremban, Tkt 1, Wisma TNB", Jalan Dato Bandar Tunggal,,Seremban,70000,Negeri Sembilan,,,2.72361,101.93933
"TNB Johor Jaya,79-81, Jln Molek 3/10, Tmn Molek, 81100 Johor Bahru",79-81,TNB Johor Jaya,Jln Molek 3/10,Tmn Molek,Johor Bahru,81100,Johor,,,1.52247,103.78596
"TNB UTC Melaka, PKP UTC Melaka, Lot 3-03, Wisma UTC, Jalan Tan Chay
Yan, Off Jln Hang Tuah, 75300 Melaka", Lot 3-03,"TNB UTC Melaka, PKP UTC Melaka","Jalan Tan Chay
Yan",Off Jln Hang Tuah,,75300,Melaka,,,2.20096,102.24524
"TNB Taiping, Pejabat Pengurus Kawasan (Taiping), 20, Jalan Istana Larut,
34000 Taiping, Perak.
",20,"TNB Taiping, Pejabat Pengurus Kawasan (Taiping)",Jalan Istana Larut,,Taiping,34000,Perak,,,4.8486,100.7323
"TNB Johor Bharu, Bahagian Pembahagian TNB, Tingkat 3, Wisma TNB,
Jalan Yahya Awal, Johor Bahru, Johor",,"TNB Johor Bharu, Bahagian Pembahagian TNB, Tingkat 3, Wisma TNB",Jalan Yahya Awal,,Johor Bahru,,Johor,,,1.46622,103.75301
"TNB, Wisma TNB, Lot 14, Seksyen 19, Jalan Gambut, 25000 Kuantan.", Lot 14,"TNB, Wisma TNB",,Seksyen 19,Kuantan,25000,Kuantan,,,3.8086,103.3253
"No.10, Ground Floor, Galleria PJH, Persiaran Perdana, Precint 4, 62100
W.P. Putrajaya.",No. 10,,"Ground Floor, Galleria PJH, Persiaran Perdana",Precint 4,Putrajaya,62100,Wilayah Persekutuan,,,2.923708,101.705922
"No.28 Kip Ent Park Bt7 , Jalan Metro Perdana Timur 8 ,Jalan Kecong , 52100 Kuala Lumpur , Wilayah Persekutuan",No.28,Kip Ent Park Bt7,"Jalan Metro Perdana Timur 8 , Jalan Kecong ",,Kuala Lumpur,52100,Wilayah Persekutuan,,,3.21638,101.64682
"K9612, GF, Taman Cukai Utama 24000, Malaysia",K9612,,,Taman Cukai Utama,,24000,,,,6.15525,100.37191
"No. 6, Ground Floor, Jln Jubli Mutiara Sarikei, Sarawak 96100, Malaysia","No. 6, Ground Floor",,Jln Jubli Mutiara Sarikei,,,96100,Sarawak,,,3.07089,101.5555
"No. 24, Psn 118C Desa Tun Razak Kuala Lumpur, Wilayah Persekutuan 56000, Malaysia",No. 24 Psn 118C ,Desa Tun Razak ,,,Kuala Lumpur,56000,Wilayah Persekutuan ,,,3.16181,101.71962
"G17, Ground Floor, Blok G Medan Warisan, Lrg Seri Kuantan, Pahang 25100, Malaysia","G17, Ground Floor, Blok G",Medan Warisan,Lorong Seri Kuantan,,,25100,Pahang,,,6.10727,100.34538
"53-1, Lagoon Business Centre, Jalan PJS 9/1A, Bandar Sunway Subang Jaya, Selangor 47500, Malaysia",53-1,Lagoon Business Centre,Jalan PJS 9/1A,Bandar Sunway,Subang Jaya,47500,Selangor,,,3.053398,101.788109
"B-5-8, Plaza Mont Kiara,  Plaza Mont Kiara Kuala Lumpur, Wilayah Persekutuan 50480, Malaysia",B-5-8,Plaza Mont Kiara,,Plaza Mont Kiara,Kuala Lumpur,50480,Wilayah Persekutuan ,,,3.16555,101.65227
"Menara AIA, 99 Jalan Ampang, 50450 Kuala Lumpur",99,Menara AIA,Jalan Ampang,,Kuala Lumpur,50450,,,,3.15279,101.69981
"JKG Tower Sdn Bhd
Management Office
1st floor, Menara JKG
No. 282, Jalan Raja Laut
50350 Kuala Lumpur",No. 282,"1st floor, Menara JKG",Jalan Raja Laut,,Kuala Lumpur,50350,,,,1.68595,103.53023
"Uppercase Sdn Bhd
No. 29-7 Jalan Riong
Bangsar
59100 Kuala Lumpur",No. 29-7 ,,Jalan Riong,,Kuala Lumpur,59100,,,,3.12835,101.67749
"Cowrk Sdn Bhd
8, Lengkok Abdullah
Bangsar
59100 Kuala Lumpur",8,,Lengkok Abdullah,,Kuala Lumpur,59100,,,,3.11601,101.66401
"Common Ground Works Sdn Bhd
Suite 16-1, Level 16
Wisma UOA Damansara II
No. 6, Changkat Semantan
Damansara Heights
50490 Kuala Lumpur",No. 6,"Suite 16-1, Level 16
Wisma UOA Damansara II",,"Changkat Semantan
Damansara Heights",Kuala Lumpur,50490,,,,3.15145,101.6657
"Incompleteness Theorem Sdn. Bhd.
Unit 3A-01A, Level 3A
Glo Damansara
No. 699, Jalan Damansara
60000 Kuala Lumpur",No.699,"Unit 3A-01A, Level 3A
Glo Damansara",Jalan Damansara,,Kuala Lumpur,60000,,,,4.65102,101.1052
"Sunway PFM Sdn Bhd
Level 1, Menara Sunway
Jalan Lagoon Timur
Bandar Sunway
47500 Subang Jaya
Selangor",,"Level 1, Menara Sunway",Jalan Lagoon Timur,Bandar Sunway,Subang Jaya,47500,Selangor,,,3.06942,101.55884
"Putrajaya Holdings Sdn. Bhd.
No. 2, Jalan Tun Abdul Razak
Precinct 2
62100 Putrajaya",No. 2,,Jalan Tun Abdul Razak,Precinct 2,Putrajaya,62100,,,,2.922508,101.683255
"Technology Park Malaysia Corporation Sdn Bhd
Level 5, Enterprise 4
Lebuhraya Puchong - Sg.Besi,
Bukit Jalil
57000 Kuala Lumpur",,"Technology Park Malaysia
Level 5, Enterprise 4",Lebuhraya Puchong - Sg. Besi,Bukit Jalil,Kuala Lumpur,57000,,,,3.04829,101.6884
"KLCC (Holdings) Sdn. Bhd.
Level 54, Tower 2
PETRONAS Twin Towers
50088 Kuala Lumpur City Centre
Kuala Lumpur",,"KLCC
Level 54, Tower 2
PETRONAS Twin Towers",,Kuala Lumpur City Center,Kuala Lumpur,50088,,,,3.14776,101.69402
"Menara Kuala Lumpur Sdn Bhd
Jalan Punchak
Off Jalan P. Ramlee
50250 Kuala Lumpur",,Menara Kuala Lumpur,"Jalan Punchak
Off Jalan P. Ramlee",,Kuala Lumpur,50250,,,,4.56461,101.06093
"MRCB Sentral Properties Sdn. Bhd.
Creative Innovation Centre
Suite 1B-G-1, Block 1B, Ground Floor
Plaza Sentral, Jalan Stesen Sentral 5
KL Sentral
50470 Kuala Lumpur",,"Creative Innovation Centre
Suite 1B-G-1, Block 1B, Ground Floor
Plaza Sentral",Jalan Stesen Sentral 5,KL Sentral,Kuala Lumpur,50470,,,,3.13533,101.68649
"Telekom Malaysia Berhad
Level 1, North Wing
Menara TM
Jalan Pantai Baharu
50672 Kuala Lumpur",,"Level 1, North Wing
Menara TM",Jalan Pantai Baharu,,Kuala Lumpur,50672,,,,3.15947,101.70171
"MVC Cybermanager Sdn Bhd
Level 3A-09
The Gardens South Tower
Mid Valley City
Lingkaran Syed Putra
59200 Kuala Lumpur",,"Level 3A-09
The Gardens South Tower",Lingkaran Syed Putra,Mid Valley City,Kuala Lumpur,56200,,,,3.1173,101.67523
"Cybercentre Management
UOA Development Bhd
UOA Corporate Tower
Lobby A, Avenue 10
The Vertical, Bangsar South City
No. 8, Jalan Kerinchi
59200 Kuala Lumpur",No. 8,"UOA Corporate Tower
Lobby A, Avenue 10",Jalan Kerinchi,"The Vertical, Bangsar South City",Kuala Lumpur,59200,,,,3.12794,101.67744
"GTower Cybercentre Management
GTower Sdn Bhd
Level 14, GTower
199, Jalan Tun Razak
50400 Kuala Lumpur",199,"Level 14, GTower",Jalan Tun Razak,,Kuala Lumpur,50400,,,,3.16169,101.71966
"The Intermark Sdn Bhd
Unit 20-05, Level 20
Integra Tower
The Intermark
348 Jalan Tun Razak
50400 Kuala Lumpur","Unit 20-05, 348","Level 20
Integra Tower
The Intermark",Jalan Tun Razak,,Kuala Lumpur,50400,,,,3.13654,101.68854
"Kumpulan Hamzah Kwong Hing Realty Sdn Bhd
Level 22
Wisma Hamzah Kwong Hing
No. 1, Leboh Ampang
50100 Kuala Lumpur",No. 1,Level 22 Wisma Hamzah Kwong Hing,Leboh Ampang,,Kuala Lumpur,50100,,,,3.14829,101.69654
"No. 21, Jalan PDR 6, Kawasan Perniagaan Desa Ria, Seri Kembangan, Selangor 43300, Malaysia",No. 21,,Jalan PDR 6,Kawasan Perniagaan Desa Ria,Seri Kembangan,43300,Selangor,,,3.023532,101.749069
"Central Holdings Berhad
Incubation and Business Centre
Level 1, Menara Worldwide
Lot 198, Jalan Bukit Bintang
55100 Kuala Lumpur",Lot 198,"Level 1, Menara Worldwide",Jalan Bukit Bintang,,Kuala Lumpur,55100,,,,3.14616,101.71032
"Khor Joo Saik Sdn Bhd
Level 6, Menara Binjai
No.2, Jalan Binjai
Off Jalan Ampang
50450 Kuala Lumpur",No.2,"Level 6, Menara Binjai",Jalan Binjai,Jalan Ampang,Kuala Lumpur,50450,,,,3.15279,101.69981
"Menara Maybank
100, Jalan Tun Perak
50050 Kuala Lumpur",100,Menara Maybank,Jalan Tun Perak,,Kuala Lumpur,50050,,,,3.14822,101.69779
"UOA Asset Management Sdn. Bhd.
UOA Corporate Tower
Lobby A, Avenue 10
The Vertical, Bangsar South City
No. 8, Jalan Kerinchi
59200 Kuala Lumpur",No. 8,"Lobby A, Avenue 10 The Vertical, Bangsar South City",Jalan Kerinchi,,Kuala Lumpur,59200,,,,3.12794,101.67744
"UIR Malaysia Office 1 Sdn. Bhd.
Level 25M, Cap Square Tower
10, Jalan Munshi Abdullah
50100 Kuala Lumpur",10,"Level 25M, Cap Square Tower",Jalan Munshi Abdullah,,Kuala Lumpur,50100,,,,3.15464,101.69842
"Sentul Raya Sdn. Bhd.
10th Floor, Yeoh Teong Lay Plaza
55, Jalan Bukit Bintang
55100 Kuala Lumpur",55,"10th Floor, Yeoh Teong Lay Plaza",Jalan Bukit Bintang,,Kuala Lumpur,55100,,,,3.14616,101.71032
"GSL Development Sdn. Bhd.
Unit 5-02, Level 5, Menara LGB
No. 1, Jalan Wan Kadir
Taman Tun Dr. Ismail
60000 Kuala Lumpur",No. 1,"Unit 5-02, Level 5, Menara LGB",Jalan Wan Kadir,Taman Tun Dr. Ismail,Kuala Lumpur,60000,,,,3.13705,101.63016
"Menara Hap Seng Sdn Bhd
Lot 11-05, Level 11, Menara Hap Seng 2
Letter Box No.2, Plaza Hap Seng
No. 1, Jalan P. Ramlee
50250 Kuala Lumpur",No. 1,"Lot 11-05, Level 11, Menara Hap Seng 2",Jalan P. Ramlee,"Letter Box No.2, Plaza Hap Seng",Kuala Lumpur,50250,,,,3.15357,101.70787
"KEN TTDI Sdn Bhd
Level 12, Menara KEN TTDI
No. 37, Jalan Burhanuddin Helmi
Taman Tun Dr. Ismail
60000 Kuala Lumpur",No. 37,"Level 12, Menara KEN TTDI",Jalan Burhanuddin Helmi,Taman Tun Dr. Ismail,Kuala Lumpur,60000,,,,3.14846,101.62012
"Desa Samudra Sdn Bhd
Suite 1.03, Level 1, Wisma E&C
No. 2, Lorong Dungun Kiri
Damansara Heights
50490 Kuala Lumpur",No. 2,"Suite 1.03, Level 1, Wisma E&C",Lorong Dungun Kiri,Damansara Heights,Kuala Lumpur,50490,,,,3.1501,101.65246
"DC Offices Sdn Bhd
Level 13, Wisma GuocoLand
Damansara City
No. 6, Jalan Damanlela, Bukit Damansara
50490 Kuala Lumpur",No. 6,"Level 13, Wisma GuocoLand Damansara City",Jalan Damanlela,Bukit Damansara,Kuala Lumpur,50490,,,,3.15175,101.6688
"No. 7, Jln Ss7/6b Kelana Jaya Petaling Jaya, Selangor 47301, Malaysia",No. 7,,Jln Ss7/6b,Kelana Jaya,Petaling Jaya,47301,Selangor,,,3.10944,101.64771
"B-5-8, Plaza Mont Kiara, Mont Kiara Kuala Lumpur, Wilayah Persekutuan 50480, Malaysia",B-5-8,Plaza Mont Kiara,,Mont Kiara,Kuala Lumpur,50480,Wilayah Persekutuan,,,3.16555,101.65227
"3.23, 2nd Floor, Wisma Central Jalan Ampang Kuala Lumpur, Wilayah Persekutuan 50450, Malaysia",3.23,"2nd Floor, Wisma Central ",Jalan Ampang,,Kuala Lumpur,50450,Wilayah Persekutuan,,,3.15279,101.69981
"179, Jalan Bukit Bintang Unit D2, 3rd Floor, Fahrenheit88 Bukit Bintang, Wilayah Persekutuan 55100, Malaysia","Unit D2, 3rd Floor,179",,Jalan Bukit Bintang,Fahrenheit88,Bukit Bintang,55100,Wilayah Persekutuan,3.147432,101.712396,3.14546,101.71501
"1-21-01, Suntech @ Penang Cybercity Lintang Mayang Pasir 3 Bayan Baru, Pulau Pinang 11950, Malaysia",1-21-01,Suntech @ Penang Cybercity,,Lintang Mayang Pasir 3,Bayan Baru,11950,Pulau Pinang,,,5.31677,100.28277
"No. 733, Jln Tampoi Batu 3, 1/2 Johor Bahru, Johor 81200, Malaysia",No. 733,, Jln Tampoi Batu 3 1/2 ,,Johor Bahru,81200,Johor,,,1.50129,103.71161
"No. 17, Jln Tpp 1/19 Taman Industri Puchong Puchong, Selangor 47100, Malaysia",No. 17,,Jln Tpp 1/19,Taman Industri Puchong,Puchong,47100,Selangor,,,3.02905,101.6126
"K69, Kaw Perindustrian Tanjung Agas Muar, Johor 84000, Malaysia",K69,Kaw Perindustrian,,Tanjung Agas,Muar,84000,Johor,,,2.05802,102.56509
"No. 797, Jln Bagan Ajam Taman Kekaya Butterworth, Pulau Pinang 13000, Malaysia",No. 797,,Jln Bagan Ajam,Taman Kekaya,Butterworth,13000,Pulau Pinang,,,2.50595,102.25714
"PLOT 12, Kaw Perindustrian Bkt Minyak Bukit Tengah, Pulau Pinang 14100, Malaysia",PLOT 12,Kaw Perindustrian,,Bkt Minyak Bukit Tengah,,14100,Pulau Pinang,,,5.29612,100.45173
"Lrg Datuk Abang Abdul Rahim 10 Kuching, Sarawak , Malaysia",10,,Lrg Datuk Abang Abdul Rahim,,Kuching,,Sarawak,,,1.52289,110.34611
"Block 33, Georgetown, Pulau Pinang , Malaysia",Block 33,,,,Georgetown,,Pulau Pinang,,,5.41762,100.34423
"G Tower, Level 16-10. 199 Jalan Tun Razak, 50400, Malaysia",Level 16-10. 199,G Tower,Jalan Tun Razak,,,50400,,,,3.16165,101.7197
"Blok Merbau, Jln Rimba Tmn Desaminium Lestari Perda Seri Kembangan, Selangor 43300, Malaysia",Blok Merbau,,Jln Rimba ,Tmn Desaminium Lestari Perda,Seri Kembangan,43300,Selangor,,,3.016844,101.719231
"No. 31, Jalan 6/2, Taman Industri Selesa Jaya, Balakong, Seri Kembangan, Selangor 43300, Malaysia",No. 31,,Jalan 6/2,"Taman Industri Selesa Jaya , Balakong",Seri Kembangan,43300,Selangor,,,3.011387,101.751433
"22-3, Plaza Danau 2, Jln 5/109f Danau Desa Kuala Lumpur, Wilayah Persekutuan 58100, Malaysia",22-3,Plaza Danau 2,Jln 5/109f Danau Desa,,Kuala Lumpur,58100,Wilayah Persekutuan,,,3.09963,101.68705
"35 Lorong Sungai Puloh 1A//KU6, Ladang Sungai Puloh, Klang, Selangor 41050, Malaysia",35,,Lorong Sungai Puloh 1A//KU6,Ladang Sungai Puloh,Klang,41050,Selangor,,,3.08105,101.41542
"No. 14, Jln Tpp 5/12 Taman Industri Puchong Puchong, Selangor 47100, Malaysia",No. 14,,Jln Tpp 5/12,Taman Industri Puchong,Puchong,47100,Selangor,,,3.02853,101.60153
"No. 117, Jln Jelapang Maju 3 Perindustrian Jelapang Maju Ipoh, Perak 30020, Malaysia",No. 117,,Jln Jelapang Maju 3,Perindustrian Jelapang Maju,Ipoh,30020,Perak,,,4.6313,101.04952
"No. 21, Lrg Nagasari 25 Perai, Pulau Pinang 13700, Malaysia",No. 21,,Lrg Nagasari 25,,Perai,13700,Pulau Pinang,,,5.38529,100.37964
"Kota Kemuning Shah Alam, Selangor , Malaysia",,Kota Kemuning,,,Shah Alam,,Selangor,,,3.07621,101.53619
"A107, Perdana Exclusive, PJU8/1 Damansara Perdana Petaling Jaya Damansara, Selangor 47820, Malaysia",A107,Perdana Exclusive, PJU8/1,Damansara Perdana,Petaling Jaya,47820,Selangor,,,3.17166,101.61717
"1-5-11, Hlm Paya Terubong 2 Bayan Lepas, Pulau Pinang 11900, Malaysia",1-5-11,,Hlm Paya Terubong 2,,Bayan Lepas,11900,Pulau Pinang,,,5.29473,100.25799
"No. 13, Jln 25/31 Section 25 Shah Alam, Selangor 40400, Malaysia",No. 13,,Jln 25/31,Section 25,Shah Alam,40400,Selangor,,,3.079831,101.765781
"27, Jalan Harmonium 23/12, Taman Desa Tebrau, Johor Bahru, Johor 81100, Malaysia",27,,Jalan Harmonium 23/12,Taman Desa Tebrau,Johor Bahru,81100,Johor,,,1.55547,103.79729
"Persiaran raja muda musa klang Klang, Selangor 41100, Malaysia",,Persiaran raja muda,,Musa klang,Klang,41100,Selangor,,,3.02914,101.42916
"No. 34, Jln Jelutong Taman Sri Plentong Masai, Johor 81750, Malaysia",No. 34,,Jln Jelutong,Taman Sri Plentong,Masai,81750,Johor,,,1.52884,103.82172
"30th Floor, The Gardens North Tower, Mid Valley City Kuala Lumpur, Wilayah Persekutuan 59200, Malaysia",,"30th Floor,The Gardens North Tower",,Mid Valley City,Kuala Lumpur,59200,Wilayah Persekutuan,,,3.11995,101.6775
